n_canales,tiempo_ms,flops_totales,energia_silicio_J,energia_carbono_J
1,2.3902959655970335,120000,0.23902959655970335,1e-11
2,2.4644869845360518,142000,0.24644869845360518,1e-11
3,2.385695930570364,164000,0.2385695930570364,1e-11
4,2.457455964758992,186000,0.24574559647589922,1e-11
5,2.4435470113530755,208000,0.24435470113530755,1e-11
6,2.4532959796488285,230000,0.24532959796488285,1e-11
7,2.5805579498410225,252000,0.25805579498410225,1e-11
8,2.4664970114827156,274000,0.24664970114827156,1e-11
9,2.488557016476989,296000,0.24885570164769888,1e-11
10,2.508506993763149,318000,0.2508506993763149,1e-11
11,2.5069069815799594,340000,0.25069069815799594,1e-11
12,2.527266973629594,362000,0.2527266973629594,1e-11
13,2.5145370746031404,384000,0.25145370746031404,1e-11
14,2.5444580242037773,406000,0.25444580242037773,1e-11
15,2.5498770410194993,428000,0.25498770410194993,1e-11
