frecuencia,potencia
0.0,0.002811432
0.5,319.45963
1.0,319.31866
1.5,319.08386
2.0,318.75534
2.5,318.33328
3.0,317.81796
3.5,317.20972
4.0,316.50885
4.5,315.71582
5.0,314.83115
5.5,313.8553
6.0,312.7889
6.5,311.6326
7.0,310.3871
7.5,309.05313
8.0,307.6315
8.5,306.12314
9.0,304.52884
9.5,302.84967
10.0,301.08655
10.5,299.24066
11.0,297.31305
11.5,295.30487
12.0,293.21732
12.5,291.05173
13.0,288.80936
13.5,286.49155
14.0,284.0997
14.5,281.63525
15.0,279.09973
15.5,276.49463
16.0,273.82147
16.5,271.08197
17.0,268.27768
17.5,265.41034
18.0,262.48166
18.5,259.49338
19.0,256.4473
19.5,253.34521
20.0,250.18909
20.5,246.98071
21.0,243.72208
21.5,240.41512
22.0,237.06183
22.5,233.66422
23.0,230.22433
23.5,226.74425
24.0,223.22606
24.5,219.67183
25.0,216.08382
25.5,212.4641
26.0,208.81493
26.5,205.13843
27.0,201.43692
27.5,197.71263
28.0,193.96785
28.5,190.20485
29.0,186.42595
29.5,182.6335
30.0,178.82985
30.5,175.01735
31.0,171.19844
31.5,167.37553
32.0,163.55106
32.5,159.72746
33.0,155.90724
33.5,152.09294
34.0,148.28703
34.5,144.49214
35.0,140.71085
35.5,136.94582
36.0,133.1997
36.5,129.47522
37.0,125.77518
37.5,122.10238
38.0,118.4597
38.5,114.85015
39.0,111.27674
39.5,107.74255
40.0,104.250885
40.5,100.80502
41.0,97.40842
41.5,94.06469
42.0,90.77758
42.5,87.55101
43.0,84.38909
43.5,81.296135
44.0,78.276695
44.5,75.33557
45.0,72.47782
45.5,69.70879
46.0,67.034096
46.5,64.45965
47.0,61.99164
47.5,59.63653
48.0,57.400936
48.5,55.291645
49.0,53.31545
49.5,51.479004
50.0,49.78871
50.5,48.250412
51.0,46.86918
51.5,45.649048
52.0,44.59272
52.5,43.701305
53.0,42.97411
53.5,42.408527
54.0,41.999947
54.5,41.741867
55.0,41.626057
55.5,41.642776
56.0,41.78117
56.5,42.02953
57.0,42.375717
57.5,42.807438
58.0,43.31259
58.5,43.879436
59.0,44.496784
59.5,45.154133
60.0,45.841743
60.5,46.55062
61.0,47.27258
61.5,48.00018
62.0,48.726765
62.5,49.446312
63.0,50.15346
63.5,50.84345
64.0,51.512062
64.5,52.155575
65.0,52.77067
65.5,53.3545
66.0,53.904556
66.5,54.418663
67.0,54.89492
67.5,55.331757
68.0,55.72783
68.5,56.081955
69.0,56.393257
69.5,56.660965
70.0,56.88454
70.5,57.063534
71.0,57.19768
71.5,57.286858
72.0,57.331028
72.5,57.330288
73.0,57.284847
73.5,57.194965
74.0,57.061058
74.5,56.883575
75.0,56.663044
75.5,56.4001
76.0,56.095448
76.5,55.749825
77.0,55.364025
77.5,54.938927
78.0,54.475506
78.5,53.974686
79.0,53.43753
79.5,52.865124
80.0,52.25858
80.5,51.619095
81.0,50.947872
81.5,50.246174
82.0,49.515316
82.5,48.756653
83.0,47.971558
83.5,47.161472
84.0,46.327877
84.5,45.472298
85.0,44.596294
85.5,43.701466
86.0,42.789467
86.5,41.862026
87.0,40.92089
87.5,39.96786
88.0,39.004852
88.5,38.033794
89.0,37.056694
89.5,36.07562
90.0,35.092777
90.5,34.110416
91.0,33.13091
91.5,32.156727
92.0,31.190434
92.5,30.23477
93.0,29.292582
93.5,28.366854
94.0,27.460754
94.5,26.577589
95.0,25.720821
95.5,24.894058
96.0,24.101082
96.5,23.345776
97.0,22.632095
97.5,21.964035
98.0,21.345558
98.5,20.780504
99.0,20.272457
99.5,19.824656
100.0,19.439846
100.5,19.120153
101.0,18.866959
101.5,18.68074
102.0,18.561148
102.5,18.506855
103.0,18.51566
103.5,18.584503
104.0,18.709654
104.5,18.886839
105.0,19.111359
105.5,19.378235
106.0,19.682405
106.5,20.018831
107.0,20.382597
107.5,20.768911
108.0,21.173292
108.5,21.591505
109.0,22.019615
109.5,22.453964
110.0,22.891228
110.5,23.328344
111.0,23.762537
111.5,24.191261
112.0,24.612244
112.5,25.023386
113.0,25.422844
113.5,25.808914
114.0,26.180105
114.5,26.535028
115.0,26.872522
115.5,27.191462
116.0,27.490894
116.5,27.769966
117.0,28.027946
117.5,28.264166
118.0,28.478073
118.5,28.669159
119.0,28.83705
119.5,28.981386
120.0,29.101902
120.5,29.198387
121.0,29.270706
121.5,29.318756
122.0,29.342495
122.5,29.341942
123.0,29.317152
123.5,29.268215
124.0,29.1953
124.5,29.098595
125.0,28.978317
125.5,28.83474
126.0,28.668173
126.5,28.478952
127.0,28.267458
127.5,28.0341
128.0,27.779337
128.5,27.503624
129.0,27.207481
129.5,26.891455
130.0,26.5561
130.5,26.202024
131.0,25.829874
131.5,25.44028
132.0,25.033966
132.5,24.611639
133.0,24.174063
133.5,23.722006
134.0,23.256327
134.5,22.777822
135.0,22.287445
135.5,21.78608
136.0,21.274723
136.5,20.754375
137.0,20.226105
137.5,19.69102
138.0,19.150297
138.5,18.60515
139.0,18.056913
139.5,17.506933
140.0,16.956696
140.5,16.407745
141.0,15.861754
141.5,15.320502
142.0,14.78593
142.5,14.260073
143.0,13.745184
143.5,13.243629
144.0,12.758019
144.5,12.291106
145.0,11.845839
145.5,11.425343
146.0,11.032891
146.5,10.671802
147.0,10.345453
147.5,10.057096
148.0,9.809776
148.5,9.606118
149.0,9.448236
149.5,9.337538
150.0,9.274606
